Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,39.8,0,0,0,449.15999999999997,489.25,0,0,181.25
14,38.455999999999996,0,0,0,497.024,535.5,0,0,123.0
15,35.0,0,0,0,465.944,501.0,0,0,127.0
16,37.096,0,0,0,485.52,522.5,0,0,153.0
17,35.36,0,0,0,435.34400000000005,470.75,0,0,129.75
18,36.376,0,0,0,513.72,550.0,0,0,126.75
19,34.928000000000004,0,0,0,475.712,510.5,0,0,140.75
20,31.680000000000003,0,0,0,447.744,479.5,0,0,163.5
21,32.512,0,0,0,444.144,476.5,0,0,142.0
22,36.424,0,0,0,446.32,482.5,0,0,127.25
23,35.36,0,0,0,432.24,467.75,0,0,136.5
24,37.2,0,0,0,445.56,482.75,0,0,121.75
25,34.592,0,0,0,458.064,492.75,0,0,125.5
26,30.240000000000002,0,0,0,417.24,447.25,0,0,143.75
27,29.8,0,0,0,443.52,473.5,0,0,117.5
28,35.32,0,0,0,426.03999999999996,461.25,0,0,125.5
29,34.424,0,0,0,1229.616,1264.0,0,0,123.75
30,35.656,0,0,0,685.0640000000001,720.75,0,0,411.75
31,35.68,0,0,0,448.88,484.75,0,0,150.75
32,30.928,0,0,0,473.416,504.5,0,0,131.5
33,29.976,0,0,0,465.36,495.25,0,0,141.25
34,36.184,0,0,0,460.76,497.0,0,0,136.5
35,41.216,0,0,0,447.44,488.5,0,0,140.0
36,35.176,0,0,0,479.22400000000005,514.25,0,0,127.75
37,36.384,0,0,0,430.01599999999996,466.5,0,0,149.25
38,29.888,0,0,0,461.152,491.0,0,0,133.25
39,29.544,0,0,0,445.576,475.0,0,0,155.25
40,35.984,0,0,0,455.08,491.0,0,0,120.5
41,33.68,0,0,0,449.776,483.5,0,0,138.75
42,35.264,0,0,0,213.96,249.0,0,0,128.75
